# Askar ColourMagic 6nm Duo Narrowband D1 (OIII + H-alpha).
#
# PROVENANCE: digitised from the two vendor charts the maker publishes for this filter,
# "Askar ColourMagic 6nm OIII Ha.png" (200-1100 nm) and
# "Askar ColourMagic 6nm OIII Ha2.png" (460-700 nm). They plot the SAME curve at
# two scales. Extracted mechanically by tools/digitize-filter-curve/digitize_filter_curve.py
# in --grid-mode excel; run it with --overlay to redraw this curve onto either chart and check
# it by eye.
#
# SPLICED, and this is the point of using both: the wide chart is 1.46 px/nm, so a 7 nm
# passband is ten pixels of near-vertical ink and the column centroid averages its own peak
# down -- it reads 79 % and 88 % where the zoomed chart reads 90 % and 96 %. So the passbands
# come from the ZOOMED chart (460-700 nm) and the out-of-band blocking, which the zoomed
# chart does not cover at all, comes from the WIDE one. Amplitude from the scale that resolves
# it, coverage from the scale that has it.
#
# VALIDATION (independent -- these wavelengths were not used to build the curve): the filter is
# cut for OIII 500.7 nm and H-alpha 656.3 nm. The extracted passbands peak at
# 500.50 nm at 89.7 % and 656.50 nm at 96.2 %, both within 0.2 nm of the line. The floor away from the passbands reads
# +0.2 %, which is the other end of the same check: it tests the value axis rather than the
# curve.
#
# FWHM reads 7.0-7.5 nm against a 6 nm specification. That is the CHART, not the glass: the
# vendor plots samples every 5 nm and Excel draws a smoothed line through them, which cannot
# render a 6 nm band narrower than its own sampling. Treated as an upper bound, never asserted.
#
# NOT USABLE BY SPCC, deliberately. The white balance integrates a broadband stellar SED
# against QE x CFA, which is meaningless over a 6 nm passband -- see the narrowband note in
# CLAUDE.md. This curve is here for sensor-matched luma weights and for the narrowband colour
# work, where which line lands in which CFA channel is the whole question.
#
# UNITS HERE ARE CHART UNITS: nanometres and percent, so a human can check a row against the
# chart. The importer converts to the database's Angstrom + fraction on the way in.
wavelength_nm,transmission_pct
200,0.32
201,0.32
202,0.32
203,0.32
204,0.32
205,0.32
206,0.32
207,0.32
208,0.32
209,0.32
210,0.32
211,0.32
212,0.32
213,0.32
214,0.32
215,0.32
216,0.32
217,0.32
218,0.32
219,0.32
220,0.32
221,0.32
222,0.32
223,0.32
224,0.32
225,0.32
226,0.32
227,0.32
228,0.32
229,0.32
230,0.32
231,0.32
232,0.32
233,0.32
234,0.32
235,0.32
236,0.32
237,0.32
238,0.32
239,0.32
240,0.32
241,0.32
242,0.32
243,0.32
244,0.32
245,0.32
246,0.32
247,0.32
248,0.32
249,0.32
250,0.32
251,0.32
252,0.32
253,0.32
254,0.32
255,0.32
256,0.32
257,0.32
258,0.32
259,0.32
260,0.32
261,0.32
262,0.32
263,0.32
264,0.32
265,0.32
266,0.32
267,0.32
268,0.32
269,0.32
270,0.32
271,0.32
272,0.32
273,0.32
274,0.32
275,0.32
276,0.32
277,0.32
278,0.32
279,0.32
280,0.32
281,0.32
282,0.32
283,0.32
284,0.32
285,0.32
286,0.32
287,0.32
288,0.32
289,0.32
290,0.32
291,0.32
292,0.32
293,0.32
294,0.32
295,0.32
296,0.32
297,0.32
298,0.32
299,0.32
300,0.32
301,0.32
302,0.32
303,0.32
304,0.32
305,0.32
306,0.32
307,0.32
308,0.32
309,0.32
310,0.32
311,0.32
312,0.32
313,0.32
314,0.32
315,0.32
316,0.32
317,0.32
318,0.32
319,0.32
320,0.32
321,0.32
322,0.32
323,0.32
324,0.32
325,0.32
326,0.32
327,0.32
328,0.32
329,0.32
330,0.32
331,0.32
332,0.32
333,0.32
334,0.32
335,0.32
336,0.32
337,0.32
338,0.32
339,0.32
340,0.32
341,0.32
342,0.32
343,0.32
344,0.32
345,0.32
346,0.32
347,0.32
348,0.32
349,0.32
350,0.32
351,0.32
352,0.32
353,0.32
354,0.32
355,0.32
356,0.32
357,0.32
358,0.32
359,0.32
360,0.32
361,0.32
362,0.32
363,0.32
364,0.32
365,0.32
366,0.32
367,0.32
368,0.32
369,0.32
370,0.32
371,0.32
372,0.32
373,0.32
374,0.32
375,0.32
376,0.32
377,0.32
378,0.32
379,0.32
380,0.32
381,0.32
382,0.32
383,0.32
384,0.32
385,0.32
386,0.32
387,0.32
388,0.32
389,0.32
390,0.32
391,0.32
392,0.32
393,0.32
394,0.32
395,0.32
396,0.32
397,0.32
398,0.32
399,0.32
400,0.32
401,0.32
402,0.32
403,0.32
404,0.32
405,0.32
406,0.32
407,0.32
408,0.32
409,0.32
410,0.32
411,0.32
412,0.32
413,0.32
414,0.32
415,0.32
416,0.32
417,0.32
418,0.32
419,0.32
420,0.32
421,0.32
422,0.32
423,0.32
424,0.32
425,0.32
426,0.32
427,0.32
428,0.32
429,0.32
430,0.32
431,0.32
432,0.32
433,0.32
434,0.32
435,0.32
436,0.32
437,0.32
438,0.32
439,0.32
440,0.32
441,0.32
442,0.32
443,0.32
444,0.32
445,0.32
446,0.32
447,0.32
448,0.32
449,0.32
450,0.32
451,0.32
452,0.32
453,0.32
454,0.32
455,0.32
456,0.32
457,0.32
458,0.32
459,0.32
460,0.21
460.5,0.21
461,0.21
461.5,0.21
462,0.21
462.5,0.21
463,0.21
463.5,0.21
464,0.21
464.5,0.21
465,0.21
465.5,0.21
466,0.21
466.5,0.21
467,0.21
467.5,0.21
468,0.21
468.5,0.21
469,0.21
469.5,0.21
470,0.21
470.5,0.21
471,0.21
471.5,0.21
472,0.21
472.5,0.21
473,0.21
473.5,0.21
474,0.21
474.5,0.21
475,0.21
475.5,0.21
476,0.21
476.5,0.21
477,0.21
477.5,0.21
478,0.21
478.5,0.21
479,0.21
479.5,0.21
480,0.21
480.5,0.21
481,0.21
481.5,0.21
482,0.21
482.5,0.21
483,0.21
483.5,0.21
484,0.21
484.5,0.21
485,0.21
485.5,0.21
486,0.21
486.5,0.21
487,0.21
487.5,0.21
488,0.21
488.5,0.21
489,0.21
489.5,0.21
490,0.21
490.5,0.29
491,0.29
491.5,0.29
492,0.34
492.5,0.37
493,0.48
493.5,0.65
494,0.99
494.5,1.75
495,3.06
495.5,5.66
496,11.69
496.5,20.21
497,32.58
497.5,50.29
498,65.43
498.5,76.61
499,84.57
499.5,87.60
500,88.75
500.5,89.70
501,87.60
501.5,81.72
502,73.60
502.5,67.88
503,60.78
503.5,48.06
504,34.67
504.5,22.02
505,10.80
505.5,5.13
506,2.60
506.5,1.21
507,0.78
507.5,0.59
508,0.42
508.5,0.31
509,0.21
509.5,0.21
510,0.21
510.5,0.21
511,0.21
511.5,0.21
512,0.21
512.5,0.21
513,0.21
513.5,0.21
514,0.21
514.5,0.21
515,0.21
515.5,0.21
516,0.21
516.5,0.21
517,0.21
517.5,0.21
518,0.21
518.5,0.21
519,0.21
519.5,0.21
520,0.21
520.5,0.21
521,0.21
521.5,0.21
522,0.21
522.5,0.21
523,0.21
523.5,0.21
524,0.21
524.5,0.21
525,0.21
525.5,0.21
526,0.21
526.5,0.21
527,0.21
527.5,0.21
528,0.21
528.5,0.21
529,0.21
529.5,0.21
530,0.21
530.5,0.21
531,0.21
531.5,0.21
532,0.21
532.5,0.21
533,0.21
533.5,0.21
534,0.21
534.5,0.21
535,0.21
535.5,0.21
536,0.21
536.5,0.21
537,0.21
537.5,0.21
538,0.21
538.5,0.21
539,0.21
539.5,0.21
540,0.21
540.5,0.21
541,0.21
541.5,0.21
542,0.21
542.5,0.21
543,0.21
543.5,0.21
544,0.21
544.5,0.21
545,0.21
545.5,0.21
546,0.21
546.5,0.21
547,0.21
547.5,0.21
548,0.21
548.5,0.21
549,0.21
549.5,0.21
550,0.21
550.5,0.21
551,0.21
551.5,0.21
552,0.21
552.5,0.21
553,0.21
553.5,0.21
554,0.21
554.5,0.21
555,0.21
555.5,0.21
556,0.21
556.5,0.21
557,0.21
557.5,0.21
558,0.21
558.5,0.21
559,0.21
559.5,0.21
560,0.21
560.5,0.21
561,0.21
561.5,0.21
562,0.21
562.5,0.21
563,0.21
563.5,0.21
564,0.21
564.5,0.21
565,0.21
565.5,0.21
566,0.21
566.5,0.21
567,0.21
567.5,0.21
568,0.21
568.5,0.21
569,0.21
569.5,0.21
570,0.21
570.5,0.21
571,0.21
571.5,0.21
572,0.21
572.5,0.21
573,0.21
573.5,0.21
574,0.21
574.5,0.21
575,0.21
575.5,0.21
576,0.21
576.5,0.21
577,0.21
577.5,0.21
578,0.21
578.5,0.21
579,0.21
579.5,0.21
580,0.21
