# Askar ColourMagic 6nm Duo Narrowband D2 (OIII + SII).
#
# PROVENANCE: digitised from the two vendor charts the maker publishes for this filter,
# "Askar ColourMagic 6nm OIII SII.png" (200-1100 nm) and
# "Askar ColourMagic 6nm OIII SII2.png" (460-700 nm). They plot the SAME curve at
# two scales. Extracted mechanically by tools/digitize-filter-curve/digitize_filter_curve.py
# in --grid-mode excel; run it with --overlay to redraw this curve onto either chart and check
# it by eye.
#
# SPLICED, and this is the point of using both: the wide chart is 1.46 px/nm, so a 7 nm
# passband is ten pixels of near-vertical ink and the column centroid averages its own peak
# down -- it reads 79 % and 88 % where the zoomed chart reads 90 % and 96 %. So the passbands
# come from the ZOOMED chart (460-700 nm) and the out-of-band blocking, which the zoomed
# chart does not cover at all, comes from the WIDE one. Amplitude from the scale that resolves
# it, coverage from the scale that has it.
#
# VALIDATION (independent -- these wavelengths were not used to build the curve): the filter is
# cut for OIII 500.7 nm and SII 671.6/673.1 nm. The extracted passbands peak at
# 500.50 nm at 89.7 % and 671.50 nm at 96.2 %, within 0.2 and 0.5 nm. The floor away from the passbands reads
# +0.2 %, which is the other end of the same check: it tests the value axis rather than the
# curve.
#
# FWHM reads 7.0-7.5 nm against a 6 nm specification. That is the CHART, not the glass: the
# vendor plots samples every 5 nm and Excel draws a smoothed line through them, which cannot
# render a 6 nm band narrower than its own sampling. Treated as an upper bound, never asserted.
#
# NOT USABLE BY SPCC, deliberately. The white balance integrates a broadband stellar SED
# against QE x CFA, which is meaningless over a 6 nm passband -- see the narrowband note in
# CLAUDE.md. This curve is here for sensor-matched luma weights and for the narrowband colour
# work, where which line lands in which CFA channel is the whole question.
#
# UNITS HERE ARE CHART UNITS: nanometres and percent, so a human can check a row against the
# chart. The importer converts to the database's Angstrom + fraction on the way in.
wavelength_nm,transmission_pct
200,0.29
201,0.29
202,0.29
203,0.29
204,0.29
205,0.29
206,0.29
207,0.29
208,0.29
209,0.29
210,0.29
211,0.29
212,0.29
213,0.29
214,0.29
215,0.29
216,0.29
217,0.29
218,0.29
219,0.29
220,0.29
221,0.29
222,0.29
223,0.29
224,0.29
225,0.29
226,0.29
227,0.29
228,0.29
229,0.29
230,0.29
231,0.29
232,0.29
233,0.29
234,0.29
235,0.29
236,0.29
237,0.29
238,0.29
239,0.29
240,0.29
241,0.29
242,0.29
243,0.29
244,0.29
245,0.29
246,0.29
247,0.29
248,0.29
249,0.29
250,0.29
251,0.29
252,0.29
253,0.29
254,0.29
255,0.29
256,0.29
257,0.29
258,0.29
259,0.29
260,0.29
261,0.29
262,0.29
263,0.29
264,0.29
265,0.29
266,0.29
267,0.29
268,0.29
269,0.29
270,0.29
271,0.29
272,0.29
273,0.29
274,0.29
275,0.29
276,0.29
277,0.29
278,0.29
279,0.29
280,0.29
281,0.29
282,0.29
283,0.29
284,0.29
285,0.29
286,0.29
287,0.29
288,0.29
289,0.29
290,0.29
291,0.29
292,0.29
293,0.29
294,0.29
295,0.29
296,0.29
297,0.29
298,0.29
299,0.29
300,0.29
301,0.29
302,0.29
303,0.29
304,0.29
305,0.29
306,0.29
307,0.29
308,0.29
309,0.29
310,0.29
311,0.29
312,0.29
313,0.29
314,0.29
315,0.29
316,0.29
317,0.29
318,0.29
319,0.29
320,0.29
321,0.29
322,0.29
323,0.29
324,0.29
325,0.29
326,0.29
327,0.29
328,0.29
329,0.29
330,0.29
331,0.29
332,0.29
333,0.29
334,0.29
335,0.29
336,0.29
337,0.29
338,0.29
339,0.29
340,0.29
341,0.29
342,0.29
343,0.29
344,0.29
345,0.29
346,0.29
347,0.29
348,0.29
349,0.29
350,0.29
351,0.29
352,0.29
353,0.29
354,0.29
355,0.29
356,0.29
357,0.29
358,0.29
359,0.29
360,0.29
361,0.29
362,0.29
363,0.29
364,0.29
365,0.29
366,0.29
367,0.29
368,0.29
369,0.29
370,0.29
371,0.29
372,0.29
373,0.29
374,0.29
375,0.29
376,0.29
377,0.29
378,0.29
379,0.29
380,0.29
381,0.29
382,0.29
383,0.29
384,0.29
385,0.29
386,0.29
387,0.29
388,0.29
389,0.29
390,0.29
391,0.29
392,0.29
393,0.29
394,0.29
395,0.29
396,0.29
397,0.29
398,0.29
399,0.29
400,0.29
401,0.29
402,0.29
403,0.29
404,0.29
405,0.29
406,0.29
407,0.29
408,0.29
409,0.29
410,0.29
411,0.29
412,0.29
413,0.29
414,0.29
415,0.29
416,0.29
417,0.29
418,0.29
419,0.29
420,0.29
421,0.29
422,0.29
423,0.29
424,0.29
425,0.29
426,0.29
427,0.29
428,0.29
429,0.29
430,0.29
431,0.29
432,0.29
433,0.29
434,0.29
435,0.29
436,0.29
437,0.29
438,0.29
439,0.29
440,0.29
441,0.29
442,0.29
443,0.29
444,0.29
445,0.29
446,0.29
447,0.29
448,0.29
449,0.29
450,0.29
451,0.29
452,0.29
453,0.29
454,0.29
455,0.29
456,0.29
457,0.29
458,0.29
459,0.29
460,0.24
460.5,0.24
461,0.20
461.5,0.24
462,0.21
462.5,0.24
463,0.21
463.5,0.24
464,0.20
464.5,0.24
465,0.21
465.5,0.24
466,0.21
466.5,0.24
467,0.20
467.5,0.24
468,0.24
468.5,0.24
469,0.20
469.5,0.24
470,0.21
470.5,0.24
471,0.21
471.5,0.24
472,0.20
472.5,0.24
473,0.21
473.5,0.24
474,0.21
474.5,0.24
475,0.21
475.5,0.24
476,0.21
476.5,0.24
477,0.20
477.5,0.24
478,0.21
478.5,0.24
479,0.21
479.5,0.24
480,0.20
480.5,0.24
481,0.24
481.5,0.24
482,0.21
482.5,0.24
483,0.21
483.5,0.24
484,0.21
484.5,0.24
485,0.20
485.5,0.24
486,0.21
486.5,0.24
487,0.21
487.5,0.24
488,0.20
488.5,0.24
489,0.21
489.5,0.24
490,0.24
490.5,0.29
491,0.32
491.5,0.32
492,0.34
492.5,0.40
493,0.48
493.5,0.64
494,1.02
494.5,1.57
495,2.77
495.5,5.69
496,10.31
496.5,18.25
497,32.45
497.5,50.03
498,65.06
