# Baader Semi-APO: a neodymium (Moon and Skyglow) contrast glass plus a UV/IR cut.
#
# PROVENANCE: digitised from the vendor chart titled "BAADER FILTER Neodymium/Skyglow"
# (300-1200 nm, 0-100 %), extracted mechanically by
# tools/digitize-filter-curve/digitize_filter_curve.py; run it with --overlay to redraw this
# curve back onto the chart and check it by eye.
#
# AXES ARE ANCHORED, NOT ASSUMED, and the reason is the trap the skill warns about: this chart
# LABELS every 100 nm and every 10 %, but DRAWS minor gridlines every 50 nm and every 5 %
# (19 verticals, 21 horizontals). Passing the label interval as the gridline step derived an
# axis that mapped all 900 nm onto 344 px of an 800 px image and produced a baseline of
# -9.7 %, which is impossible and is what refused the first attempt. Fitted instead to five
# x anchors (300:68.0, 500:222.5, 700:375.0, 900:528.5, 1200:758.5) and three y anchors
# (100:24.5, 50:318.0, 0:611.5), both read off the gridline pixel positions.
#
#   x: 0.7668 px/nm, worst residual 0.7 px = 0.91 nm
#   y: worst residual 0.0 px
#   689 samples over 301-1198 nm, covering 897 nm of the 900 nm axis
#
# VALIDATED both ways, which is stronger than either alone: a shifted axis would move a
# passband onto a line the vendor blocks.
#   passes   H-beta 486.1 -> 87.9 %,  H-alpha 656.3 -> 97.4 %
#   notches  Na D  589.0 ->  8.1 %,          589.6 ->  9.4 %
#   baseline +0.17 % (the IR block past 730 nm), peak 98.0 % at ~650 nm
#
# The trace is BLUE here, not the usual black, so ink selection is --ink-rgb 3,3,214 --ink-tol
# 100. That also excludes the chart's own title, which is black text sitting INSIDE the plot at
# 700-1200 nm where the filter is opaque: read as ink it would have invented a passband there.
#
# NOT A NARROWBAND FILTER. The two neodymium notches (the broad dip bottoming ~55 % near 534 nm
# and the deep one reaching ~8 % at 589 nm) suppress the sodium and mercury lines of street
# lighting while the rest of the visible band passes at 80-98 %, so SPCC applies to it normally.
wavelength_nm,transmission_pct
301,0.26
302,0.17
303,0.17
305,0.17
306,0.17
307,0.17
309,0.43
310,0.94
311,0.94
312,1.02
314,1.02
315,1.02
316,0.77
318,0.60
319,0.60
320,0.68
322,0.77
323,0.60
324,0.60
326,0.60
327,0.68
328,0.68
329,0.51
331,0.43
332,0.34
333,0.34
335,0.34
336,0.43
337,0.43
339,0.43
340,0.43
341,0.43
342,0.43
344,0.43
345,0.43
346,0.51
348,0.60
349,0.68
350,0.68
352,0.60
353,0.60
354,0.68
355,0.60
357,0.51
358,0.51
359,0.51
361,0.51
362,0.43
363,0.43
365,0.43
366,0.43
367,0.43
369,0.43
370,0.34
371,0.34
372,0.43
374,0.43
375,0.43
376,0.43
378,0.51
379,0.51
380,0.51
382,0.51
383,0.43
384,0.51
385,0.43
387,0.34
388,0.17
389,0.17
391,0.17
392,0.34
393,2.18
395,4.72
396,18.06
397,20.81
399,45.45
400,49.91
401,57.64
402,72.18
404,76.27
405,83.59
406,87.99
408,88.50
409,90.19
410,89.35
412,89.22
413,86.50
414,85.95
415,86.63
417,88.84
418,88.84
419,91.49
421,91.99
422,89.86
423,88.33
425,88.25
426,86.61
427,85.78
429,84.52
430,82.96
431,82.88
432,81.66
434,83.90
435,85.78
436,87.79
438,87.93
439,91.65
440,93.53
442,93.70
443,93.36
444,93.36
445,92.84
447,92.33
448,91.91
449,91.91
451,91.82
452,91.25
453,90.97
455,90.72
456,88.76
457,87.26
459,87.05
460,86.37
461,86.20
462,86.88
464,87.31
465,87.31
466,86.37
468,84.55
469,83.22
470,81.77
472,81.77
473,79.98
474,80.66
475,81.01
477,82.58
478,82.81
479,83.82
481,84.50
482,85.01
483,86.20
485,86.67
486,87.82
487,88.59
489,90.03
490,91.91
491,91.91
492,93.02
494,92.67
495,92.14
496,90.29
498,90.20
499,88.48
500,85.43
502,83.82
503,82.71
504,80.39
