# IDAS LPS-D3 (formerly NGS1) light-pollution / night-glow suppression filter.
#
# PROVENANCE: digitised from the vendor chart LPS-D3-lps.png (ICAS Enterprises / IDAS),
# which the vendor labels "representative curve of measured values" -- so this is a
# representative curve for the product line, NOT a measurement of one physical unit.
# Extracted mechanically by tools/digitize-filter-curve/digitize_filter_curve.py, which
# calibrates off the chart gridlines and selects the black trace; run it with --overlay to
# re-draw this curve back onto the chart and check it by eye.
#
# VALIDATION (independent -- these wavelengths were not used to build the curve): the vendor
# states the filter blocks OI 557.7, NaI 589.0/589.6 and OI 630.0/636.4 nm. Extracted
# transmission at those lines is 1.8 / 3.4 / 2.6 / 1.4 / 10.9 %, peak 96.6 %.
#
# UNITS HERE ARE CHART UNITS: nanometres and percent, so a human can check a row against the
# plot. The importer converts to the database convention (Angstrom, fraction 0-1).
wavelength_nm,transmission_pct
349,0.17
350,0.21
351,0.21
352,0.21
353,0.21
354,0.21
355,0.21
356,0.21
357,0.21
358,0.21
359,0.21
360,0.21
361,0.21
362,0.21
363,0.21
364,0.21
365,0.21
366,0.21
367,0.21
368,0.21
369,0.21
370,0.25
371,0.29
372,0.29
373,0.25
374,0.21
375,0.21
376,0.21
377,0.21
378,0.21
379,0.21
380,0.21
381,0.21
382,0.21
383,0.21
384,0.21
385,0.21
386,0.21
387,0.21
388,0.21
389,0.21
390,0.21
391,0.21
392,0.21
393,0.21
394,0.21
395,0.21
396,0.21
397,0.25
398,0.29
399,0.29
400,0.29
401,0.33
402,0.46
403,0.63
404,1.22
405,2.14
406,3.24
407,6.82
408,13.07
409,19.71
410,28.48
411,42.66
412,56.45
413,65.11
414,75.07
415,81.25
416,83.44
417,84.53
418,85.33
419,86.21
420,86.80
421,87.60
422,88.14
423,88.56
424,89.11
425,89.49
426,89.57
427,89.49
428,89.32
429,89.15
430,89.41
431,89.62
432,89.83
433,89.49
434,89.15
435,88.69
436,88.14
437,88.23
438,88.77
439,86.07
440,79.65
441,65.38
442,50.73
443,39.39
444,27.87
445,13.85
446,5.25
447,2.98
448,1.55
449,1.22
450,1.22
451,1.22
452,1.05
453,1.22
454,1.39
455,1.85
456,2.81
457,4.16
458,6.68
459,12.95
460,22.35
461,30.82
462,44.85
463,59.31
464,68.38
465,79.99
466,87.71
467,91.59
468,93.95
469,95.04
470,94.70
471,94.37
472,94.11
473,94.37
474,94.62
475,95.04
476,95.54
477,95.88
478,95.96
479,95.67
480,95.37
481,95.21
482,95.54
483,95.88
484,96.13
485,96.47
486,96.55
487,96.38
488,96.38
489,96.34
