# IDAS NBZ (Nebula Booster) dual-band filter.
#
# PROVENANCE: digitised from the vendor chart optical-filter/NBZ/NBZ-300-1200.png
# (idas.uno, ICAS Enterprises), extracted mechanically by
# tools/digitize-filter-curve/digitize_filter_curve.py. Run that with --overlay to redraw this
# curve onto the chart and check it by eye.
#
# VALIDATION: the chart labels its two passbands OIII 495.9 & 500.7 nm and H-alpha 656.3 nm.
# Extracted transmission is 97 % at 500 nm and 97 % at 656 nm and 0 % at 400 / 550 / 700 / 800 /
# 1000 nm -- i.e. exactly the two-band shape, with everything else blocked.
#
# NOT USABLE BY SPCC, deliberately recorded anyway: SPCC integrates a broadband SED and is
# meaningless through a ~10 nm passband (see the narrowband note in CLAUDE.md). This curve is here
# for the narrowband-colour work, where docs/plans/narrowband-colour.md records that the OSC
# dual-band case needs per-channel throughput and mono narrowband has none at all.
#
# UNITS ARE CHART UNITS: nanometres and percent. The importer converts to the database
# convention (Angstrom, fraction 0-1).
wavelength_nm,transmission_pct
300,0.27
301,0.27
302,0.27
303,0.27
304,0.27
305,0.27
306,0.27
307,0.27
308,0.27
309,0.27
311,0.27
312,0.27
313,0.27
314,0.27
315,0.27
316,0.27
317,0.27
318,0.27
319,0.27
320,0.27
321,0.27
322,0.27
323,0.27
324,0.27
325,0.27
326,0.27
327,0.27
328,0.27
330,0.27
331,0.27
332,0.27
333,0.27
334,0.27
335,0.27
336,0.27
337,0.27
338,0.27
339,0.27
340,0.27
341,0.27
342,0.27
343,0.27
344,0.27
345,0.27
346,0.27
347,0.27
349,0.27
350,0.27
351,0.27
352,0.27
353,0.27
354,0.27
355,0.27
356,0.27
357,0.27
358,0.27
359,0.27
360,0.27
361,0.27
362,0.27
363,0.27
364,0.27
365,0.27
366,0.27
368,0.27
369,0.27
370,0.27
371,0.27
372,0.27
373,0.27
374,0.27
375,0.27
376,0.27
377,0.27
378,0.27
379,0.40
380,0.40
381,0.40
382,0.27
383,0.27
384,0.27
385,0.27
387,0.27
388,0.27
389,0.27
390,0.27
391,0.27
392,0.27
393,0.27
394,0.27
395,0.27
396,0.27
397,0.27
398,0.27
399,0.27
400,0.27
401,0.27
402,0.27
403,0.27
404,0.27
406,0.27
407,0.27
408,0.27
409,0.27
410,0.27
411,0.27
412,0.27
413,0.27
414,0.27
415,0.27
416,0.27
417,0.27
418,0.27
419,0.27
420,0.27
421,0.27
422,0.27
423,0.27
425,0.27
426,0.27
427,0.27
428,0.27
429,0.27
430,0.27
431,0.27
432,0.27
433,0.27
434,0.27
435,0.27
436,0.27
437,0.27
438,0.27
439,0.27
440,0.27
441,0.27
442,0.27
443,0.27
445,0.27
446,0.27
447,0.27
448,0.27
449,0.27
450,0.27
451,0.27
452,0.27
453,0.27
454,0.27
455,0.27
456,0.27
457,0.27
458,0.27
459,0.27
460,0.27
461,0.27
462,0.27
464,0.27
465,0.27
466,0.27
467,0.27
468,0.27
469,0.27
470,0.27
471,0.27
472,0.27
473,0.27
474,0.27
475,0.27
476,0.27
477,0.27
478,0.27
479,0.27
480,0.27
481,0.27
483,0.27
484,0.27
485,0.27
486,0.27
487,0.40
488,0.54
489,0.81
490,1.61
491,3.62
492,9.26
493,23.36
494,46.31
495,71.41
496,87.89
497,95.57
498,97.32
499,97.58
500,97.32
502,97.05
503,96.51
504,94.90
505,87.11
506,70.07
507,47.11
508,26.04
509,12.89
510,6.44
511,3.49
512,2.15
513,1.48
514,0.94
515,0.81
516,0.54
517,0.40
518,0.27
519,0.27
521,0.27
522,0.27
523,0.27
524,0.27
525,0.27
526,0.27
527,0.27
528,0.27
529,0.27
530,0.27
531,0.27
532,0.27
533,0.27
534,0.27
535,0.27
536,0.27
537,0.27
538,0.27
540,0.27
541,0.27
542,0.27
543,0.27
544,0.27
545,0.27
546,0.27
547,0.27
548,0.27
549,0.27
550,0.27
551,0.27
552,0.27
553,0.27
554,0.27
555,0.27
556,0.27
557,0.27
558,0.27
560,0.27
