# Optolong L-Ultimate: dual 3 nm narrowband (OIII 500.7 + H-alpha 656.3).
#
# PROVENANCE: digitised from the vendor chart "L-Ultimate.png" (optolong.com), extracted
# mechanically by tools/digitize-filter-curve/digitize_filter_curve.py. Run it with --overlay to
# redraw this curve onto the chart and check it by eye.
#
# BOTH AXES ARE ANCHORED ON THE LABELS, not on the gridlines, because the gridline set on this chart
# cannot be fitted: it mixes the 10 % majors with partially-visible 2.5 % minors, and a uniform-grid
# fit has no way to tell which is which. Five x labels fit 1.1070 px/nm with a worst residual of
# 0.45 nm; two y labels fit to 0.0 px.
#
# The y anchors come from the LABEL rows (100 at px 64, 0 at px 461), not the plot border. Reading
# 0 off the border at px 469 put the whole scale 2 % high: every blocked wavelength read +1.7 %
# and the extraction floor came out at -1.6 %. Both are now ~0.
#
# VALIDATION (independent -- none of these went into building the curve or calibrating either axis).
# The pass and block wavelengths INTERLEAVE, which is what makes them an axis test:
#     PASSED   OIII 500.7 -> 79.8 %      BLOCKED  Hb  486.1 -> 0.0 %
#              Ha   656.3 -> 85.3 %               Hg  546.1 -> 0.0 %
#                                                 Na  589.0 -> 0.0 %
#                                                 SII 671.6 -> 0.0 %
#
# Hb 486.1 IS THE IDENTITY CHECK, and it is why it is in that list. Optolong publish charts under
# this product's name that are actually L-eNhance, whose blue band is 23 nm wide and passes Hb
# outright; L-Ultimate's is 3 nm and cannot reach it. 0.0 % settles which filter this is.
#
# KNOWN LIMITATION, stated rather than corrected: at 1.11 px/nm a 3 nm passband is three pixels of
# near-vertical ink, so the column centroid averages the peak down and the band centre lands within
# about a pixel. Extracted peak is 90.4 %; the vendor's own
# ZOOMED charts, at ~16 px/nm, measure 87.6 % and 91.5 % with FWHM 3.2 and 3.7 nm. So transmission
# AT the lines reads roughly 8 % low at OIII and 6 % low at H-alpha -- conservative, never optimistic.
#
# Not scaled to match the zoomed charts, deliberately: they resolve only the top of each band (their
# labelled maximum is 90, not 100, and the two disagree on plot geometry), so a correction factor
# would invent the band shape in between. The numbers above are the correction if a consumer needs
# one.
#
# THE LEGEND SITS INSIDE THE PLOT AREA and is excluded by hand (--legend-rect 580,55,630,360). It
# holds a blue line SAMPLE and rotated navy text in the trace's exact colour, in the top right --
# which is 700-800 nm on this axis, where the filter is opaque. Left in, 780 nm read 90.1 %: a
# confident, plausible passband that is not there. The box borders are drawn dark rather than grey,
# so the automatic detector cannot see them.
#
# COVERAGE IS 350-800 nm, the chart's full axis. No near-IR blocking data beyond 800.
#
# UNITS HERE ARE CHART UNITS: nanometres and percent, so a human can check a row against the
# chart. The importer converts to the database's Angstrom + fraction on the way in.
wavelength_nm,transmission_pct
351,0.00
351.75,0.00
352.75,0.00
353.75,0.00
354.5,0.00
355.5,0.00
356.25,0.00
357.25,0.00
358.25,0.00
359,0.00
360,0.00
361,0.00
361.75,0.00
362.75,0.00
363.5,0.00
364.5,0.00
365.5,0.00
366.25,0.00
367.25,0.00
368,0.00
369,0.00
370,0.00
370.75,0.00
371.75,0.00
372.75,0.00
373.5,0.00
374.5,0.00
375.25,0.00
376.25,0.00
377.25,0.00
378,0.00
379,0.00
379.75,0.00
380.75,0.00
381.75,0.00
382.5,0.00
383.5,0.00
384.25,0.00
385.25,0.00
386.25,0.00
387,0.00
388,0.00
389,0.00
389.75,0.00
390.75,0.00
391.5,0.00
392.5,0.00
393.5,0.00
394.25,0.00
395.25,0.00
396,0.00
397,0.00
398,0.00
398.75,0.00
399.75,0.00
400.75,0.00
401.5,0.00
402.5,0.00
403.25,0.00
404.25,0.00
405.25,0.00
406,0.00
407,0.00
407.75,0.00
408.75,0.00
409.75,0.00
410.5,0.00
411.5,0.00
412.5,0.00
413.25,0.00
414.25,0.00
415,0.00
416,0.00
417,0.00
417.75,0.00
418.75,0.00
419.5,0.00
420.5,0.00
421.5,0.00
422.25,0.00
423.25,0.00
424,0.00
425,0.00
426,0.00
426.75,0.00
427.75,0.00
428.75,0.00
429.5,0.00
430.5,0.00
431.25,0.00
432.25,0.00
433.25,0.00
434,0.00
435,0.00
435.75,0.00
436.75,0.00
437.75,0.00
438.5,0.00
439.5,0.00
440.5,0.00
441.25,0.00
442.25,0.00
443,0.00
444,0.00
445,0.00
445.75,0.00
446.75,0.00
447.5,0.00
448.5,0.00
449.5,0.00
450.25,0.00
451.25,0.00
452,0.00
453,0.00
454,0.00
454.75,0.00
455.75,0.00
456.75,0.00
457.5,0.00
458.5,0.00
459.25,0.00
460.25,0.00
461.25,0.00
462,0.00
463,0.00
463.75,0.00
464.75,0.00
465.75,0.00
466.5,0.00
467.5,0.00
468.5,0.00
469.25,0.00
470.25,0.00
471,0.00
472,0.00
473,0.00
473.75,0.00
474.75,0.00
475.5,0.00
476.5,0.00
477.5,0.00
478.25,0.00
479.25,0.00
480.25,0.00
481,0.00
482,0.00
482.75,0.00
483.75,0.00
484.75,0.00
485.5,0.00
486.5,0.00
487.25,0.00
488.25,0.00
489.25,0.00
490,0.00
491,0.00
491.75,0.00
492.75,0.00
493.75,0.00
494.5,0.13
495.5,0.13
496.5,0.63
497.25,3.78
498.25,14.99
499,46.47
500,72.24
501,83.07
501.75,56.89
502.75,26.20
503.5,10.32
504.5,2.52
505.5,0.88
506.25,0.38
507.25,0.13
508.25,0.13
509,0.00
510,0.00
510.75,0.00
511.75,0.00
