# Optolong L-eNhance: a TRI-LINE filter -- H-beta 486.1 + OIII 495.9/500.7 in one wide blue band,
# H-alpha 656.3 in a narrower red one.
#
# It is not a dual-band, and calling it one is a real error rather than a labelling quibble: the blue
# window is 23 nm wide (the vendor annotates it "FWHM OIII&Hb"), so the channel that looks like OIII
# delivers OIII PLUS H-beta summed into one measurement. Anything unmixing a frame shot through this
# filter on a strictly two-line Ha/OIII model is solving the wrong system. See
# docs/plans/narrowband-colour.md.
#
# And the throughput is NOT flat across that band. H-beta gets MORE than OIII 500.7 does, because the
# band is centred near 490 and 500.7 sits on its falling shoulder:
#     Hb   486.1 -> 96.4 %      OIII 495.9 -> 95.7 %      OIII 500.7 -> 85.9 %
#     Ha   656.3 -> 79.7 %  (peak 96.8 %, so H-alpha is off-centre too)
#
# PROVENANCE: digitised from the vendor's two ZOOMED charts, "L-Enhance_OIII.png" (465-520 nm) and
# "L-Enhance_HA.png" (635-675 nm), by tools/digitize-filter-curve/digitize_filter_curve.py. Both axes
# on both charts are anchored on the LABELS: the x fits land at 0.03 and 0.02 nm worst residual, the
# y fits at 0.0 px. Run the tool with --overlay to redraw either band onto its chart.
#
# THE HIGH-RESOLUTION CHARTS ARE THE POINT. At the ~1 px/nm of a full-range chart you cannot tell
# whether H-beta falls inside the blue band; at 9 px/nm you can, and that is the filter's defining
# feature. A wide chart would have produced a curve that looked fine and lost the one fact that
# distinguishes this filter from a true dual-band.
#
# OUT-OF-BAND IS ASSERTED, NOT MEASURED, and this is the file's one weakness. The vendor publishes no
# full-range chart here, so only 465-520 and 635-675 nm are measured; the zeros at 350, 460, 525,
# 630, 680 and 800 nm are an assertion. It is a sound one for an interference filter -- both charts
# show their band's wings reaching zero WITHIN their own range (470 nm reads -0.1 %, 515 nm 0.0 %,
# 640 nm 0.5 %, 670 nm 0.0 %), so each band is bracketed by measured zeros -- but any UV or IR
# leakage outside those windows is invisible to this curve. Replace with a spliced full-range chart
# if one turns up.
#
# UNITS HERE ARE CHART UNITS: nanometres and percent, so a human can check a row against the
# chart. The importer converts to the database's Angstrom + fraction on the way in.
wavelength_nm,transmission_pct
350,0.00
460,0.00
465.1,0.00
465.2,0.00
465.3,0.00
465.5,0.00
465.6,0.00
465.7,0.00
465.8,0.00
465.9,0.00
466,0.00
466.1,0.00
466.2,0.00
466.3,0.00
466.5,0.00
466.6,0.00
466.7,0.00
466.8,0.00
466.9,0.00
467,0.00
467.1,0.00
467.2,0.00
467.3,0.00
467.4,0.00
467.6,0.00
467.7,0.00
467.8,0.00
467.9,0.00
468,0.00
468.1,0.00
468.2,0.00
468.3,0.00
468.4,0.00
468.6,0.00
468.7,0.00
468.8,0.00
468.9,0.00
469,0.00
469.1,0.00
469.2,0.00
469.3,0.00
469.4,0.00
469.5,0.00
469.7,0.00
469.8,0.00
469.9,0.00
470,0.00
470.1,0.00
470.2,0.00
470.3,0.00
470.4,0.00
470.5,0.00
470.7,0.00
470.8,0.00
470.9,0.00
471,0.00
471.1,0.00
471.2,0.00
471.3,0.00
471.4,0.00
471.5,0.00
471.6,0.00
471.8,0.00
471.9,0.00
472,0.00
472.1,0.00
472.2,0.00
472.3,0.00
472.4,0.00
472.5,0.00
472.6,0.00
472.8,0.12
472.9,0.12
473,0.12
473.1,0.12
473.2,0.12
473.3,0.12
473.4,0.12
473.5,0.12
473.6,0.12
473.8,0.12
473.9,0.12
474,0.25
474.1,0.37
474.2,0.37
474.3,0.37
474.4,0.37
474.5,0.37
474.6,0.37
474.7,0.37
474.9,0.62
475,0.62
475.1,0.62
475.2,0.62
475.3,0.62
475.4,0.74
475.5,0.87
475.6,0.87
475.7,0.87
475.9,1.11
476,1.11
476.1,1.11
476.2,1.36
476.3,1.36
476.4,1.61
476.5,1.61
476.6,1.86
476.7,1.98
476.8,2.10
477,2.35
477.1,2.72
477.2,2.97
477.3,3.22
477.4,3.47
477.5,3.84
477.6,4.33
477.7,4.83
477.8,5.20
478,5.82
478.1,6.56
478.2,7.18
478.3,8.17
478.4,9.04
478.5,10.03
478.6,10.99
478.7,12.38
478.8,13.49
478.9,15.10
479.1,16.34
479.2,18.32
479.3,19.68
479.4,21.54
479.5,23.27
479.6,25.38
479.7,27.39
479.8,29.34
479.9,30.95
480.1,32.88
