arm,role,old_id,camera,object,old_dates,new_id,filter,filter_source,basis
v13/v15-first8,train,2026-01-18/Orion+HH|ZWO ASI533MC Pro|V1045 Ori,ZWO ASI533MC Pro,V1045 Ori,2026-01-18,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/V1045-Ori/2026-01-18|ZWO ASI533MC Pro|V1045 Ori|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v13/v15-first8,train,2026-01-11|ZWO ASI533MC Pro|HD 72800,ZWO ASI533MC Pro,HD 72800,2026-01-11,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-72800/2026-01-11|ZWO ASI533MC Pro|HD 72800|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v13/v15-first8,train,2026-01-05/Panel 5|ZWO ASI533MC Pro|HD 74167,ZWO ASI533MC Pro,HD 74167,2026-01-05,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-74167/2026-01-05|ZWO ASI533MC Pro|HD 74167|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v13/v15-first8,train,2025-12-17 Orion + Vela SNR/2025-12-17 M42 LIGHT|ZWO ASI533MC Pro|Great Orion Nebula,ZWO ASI533MC Pro,Great Orion Nebula,2025-12-17 2025-12-17,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/Great-Orion-Nebula/2025-12-17|ZWO ASI533MC Pro|Great Orion Nebula|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v13/v15-first8,train,2025-05-25 - Rim Nebula|ZWO ASI585MC Pro|Rim Nebula,ZWO ASI585MC Pro,Rim Nebula,2025-05-25,,,UNRESOLVED,unmatched
v13/v15-first8,train,2026-02-18|ZWO ASI533MC Pro|HD 77683,ZWO ASI533MC Pro,HD 77683,2026-02-18,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-77683/2026-02-18|ZWO ASI533MC Pro|HD 77683|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v13/v15-first8,train,2026-01-18/Panel 11|ZWO ASI533MC Pro|HD 71216,ZWO ASI533MC Pro,HD 71216,2026-01-18,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-71216/2026-01-18|ZWO ASI533MC Pro|HD 71216|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v13/v15-first8,train,2025-10/Horsehead Nebula|SVBONY SV605CC|Horsehead Nebula,SVBONY SV605CC,Horsehead Nebula,,SVBONY-SV605CC/Optolong-L-Quad-Enhance/Horsehead-Nebula/2025-10-28|SVBONY SV605CC|Horsehead Nebula|Optolong L-Quad Enhance,Optolong L-Quad Enhance,organized-bake,name-only
v13/v15-first8,val,2026-01-20|ZWO ASI533MC Pro|HD 71272,ZWO ASI533MC Pro,HD 71272,2026-01-20,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-258924/2026-01-20|ZWO ASI533MC Pro|HD 71272|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v13/v15-first8,val,2025-12-28/Segaull+Thors_Helmet|ZWO ASI533MC Pro|HIP 34710,ZWO ASI533MC Pro,HIP 34710,2025-12-28,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HIP-34710/2025-12-28|ZWO ASI533MC Pro|HIP 34710|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v15-train,train,2026-01-01|ZWO ASI533MC Pro|COO 71,ZWO ASI533MC Pro,COO 71,2026-01-01,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-71181/2026-01-01|ZWO ASI533MC Pro|COO 71|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v15-train,train,2026-01-05/Panel 6|ZWO ASI533MC Pro|HD 76358,ZWO ASI533MC Pro,HD 76358,2026-01-05,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-76358/2026-01-05|ZWO ASI533MC Pro|HD 76358|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v15-train,train,2026-02-16|ZWO ASI533MC Pro|HD 77850,ZWO ASI533MC Pro,HD 77850,2026-02-16,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-75426/2026-02-16|ZWO ASI533MC Pro|HD 77850|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v15-train,train,2025-10/2025-10-28|SVBONY SV605CC|Pleiades,SVBONY SV605CC,Pleiades,2025-10-28,SVBONY-SV605CC/Optolong-L-Quad-Enhance/Pleiades/2025-10-28|SVBONY SV605CC|Pleiades|Optolong L-Quad Enhance,Optolong L-Quad Enhance,organized-bake,exact
v15-train,train,2026-01-06|ZWO ASI533MC Pro|HD 76304,ZWO ASI533MC Pro,HD 76304,2026-01-06,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-74167/2026-01-06|ZWO ASI533MC Pro|HD 76304|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v15-train,train,2025-08-20 - Helix Nebula|SVBONY SV605CC|Helix Nebula,SVBONY SV605CC,Helix Nebula,2025-08-20,SVBONY-SV605CC/Optolong-L-Ultimate-3nm/Helix-Nebula/2025-08-20|SVBONY SV605CC|Helix Nebula|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v15-train,train,2026-01-23|ZWO ASI533MC Pro|RCW 27,ZWO ASI533MC Pro,RCW 27,2026-01-23,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/Vela-SNR/2026-01-23|ZWO ASI533MC Pro|RCW 27|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v15-train,train,2026-02-14 Statue of Liberty Nebula/2026-02-14|SVBONY SV605CC|Statue of Liberty Nebula,SVBONY SV605CC,Statue of Liberty Nebula,2026-02-14 2026-02-14,SVBONY-SV605CC/Optolong-L-Quad-Enhance/Statue-of-Liberty-Nebula/2026-02-14|SVBONY SV605CC|Statue of Liberty Nebula|Optolong L-Quad Enhance,Optolong L-Quad Enhance,organized-bake,exact
v15-train,val,2025-10/Tarantula Nebula/2025-11-01|SVBONY SV605CC|Tarantula Nebula,SVBONY SV605CC,Tarantula Nebula,2025-11-01,SVBONY-SV605CC/Optolong-L-Ultimate-3nm/Tarantula-Nebula/2025-11-01|SVBONY SV605CC|Tarantula Nebula|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v15-train,val,2025-05-02 - RIM 135mm f2.8 ASI533mc HaOIII|ZWO ASI533MC Pro|Rim Nebula,ZWO ASI533MC Pro,Rim Nebula,2025-05-02,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/Rim-Nebula/2025-05-02|ZWO ASI533MC Pro|Rim Nebula|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2026-02 Rim Nebula Project/2026-02-19 Rim Nebula HO|ZWO ASI533MC Pro|Rim Nebula,ZWO ASI533MC Pro,Rim Nebula,2026-02-19,,Optolong L-Ultimate 3nm,provenance-verdict,ambiguous
v17-train,train,2026-02-18|ZWO ASI533MC Pro|HD 77683,ZWO ASI533MC Pro,HD 77683,2026-02-18,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-77683/2026-02-18|ZWO ASI533MC Pro|HD 77683|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2025-05-25 - Lagoon Nebula|ZWO ASI585MC Pro|Lagoon Nebula,ZWO ASI585MC Pro,Lagoon Nebula,2025-05-25,,,UNRESOLVED,unmatched
